ID	author	claim	label
18	Facebook posts	“The CDC issued its first warning on Jan 8. Trump held campaign rallies on Jan 9, Jan 14, Jan 28, Jan 30, Feb 10, Feb 19, Feb 20, Feb 21, & Feb 28. He golfed on Jan 18, Jan 19, Feb 1, Feb 15, Mar 7, Mar 8. The first time he admitted the coronavirus might be a problem was Mar 13.”	half-true
19	Anonymous Activist	"""500 percent more traffic here?"""	mostly-true
20	Viral image	A photo shows Adolf Hitler holding a Bible like Donald Trump.	false
21	Kevin Cameron	Oregon House Republicans’ jobs plan could generate more than 50,000 jobs over five years.	mostly-true
22	Facebook posts	Clicking on this link in a text message lets sex traffickers track you.	false
23	Right to Rise	"Says Ohio Gov. John Kasich had ""the worst rating on spending of any governor in the country, Republican or Democrat."""	half-true
24	Joe Biden	"""We’re no longer the wealthiest middle class in the world."""	mostly-true
25	Mary Landrieu	"""In the last 10 years we've only had 7,000 barrels of oil spilled in the Gulf ... not counting hurricanes. This well is spewing that amount every day and a half."""	mostly-true
26	Joe Manchin	"""Pat Morrisey joined a federal lawsuit to allow insurance companies to deny coverage for people with pre-existing conditions."""	mostly-true
27	Mitch McConnell	In the American Rescue Plan, “just about 1% of the money is for vaccines.”	mostly-true
28	Facebook posts	“Florida is doing over five times better” than New Jersey and New York in COVID-19 deaths per million people.	barely-true
29	Scott Walker	"""We in this state saw more job creation in the last three years since I've been governor than you saw in the whole eight years of Doyle’s time as governor."""	mostly-true
30	Tim Kaine	"""We fixed a loophole in the (gun) background record check system so that we could make our commonwealth safer."""	true
31	Karen Lewis	"The new Illinois school funding formula ""created a tax shelter for the wealthy and a voucher program…"""	half-true
32	Mike Gallagher	"Says Tom Nelson ""backed higher taxes on Social Security, costing Wisconsin seniors $95 million."""	false
33	Lindsey Graham	"Joe Biden ""voted against the first Gulf War. He opposed the surge. He wanted to partition Iraq."""	true
34	Josh Mandel	"Sherrod Brown opposed blocking a new EPA emissions rule, ""despite acknowledging that the EPA's cap-and-trade regulations are ‘burdensome’ and could harm economic growth in Ohio."""	barely-true
35	Scott Walker	"""Obama for President and Baldwin for Senate have kept their campaign offices up and running in Fox Valley, Eau Claire and La Crosse with their staffs preparing for the next battle."""	false
36	Michael Solomon	"""Pregnant women who stand for five to six hours at a time increase their risk of pre-term pregnancy by 80 percent."""	barely-true
37	John Chiang	"""A majority of Americans now live in states where they have decided to legalize cannabis,"" including recreational and medical marijuana."	true
38	Rick Scott	"""I delivered to you a budget that ... cuts taxes by $2 billion."""	mostly-true
39	Kelli Stargel	"""In states where beer is unregulated, the per capita production is significantly higher."""	barely-true
40	Ron Johnson	"The United States is the only nation ""that grants legal permanent residency to more than a million people per year."""	true
41	Donald Trump	"""Some of the things that (Megyn Kelly) said, I didn’t say."""	false
42	Facebook posts	“This man who was kicked and stomped” was killed by an “antifa murderer.”	false
43	John McCain	"""Barack Obama has the longest track record of any candidate in this election in support of the 'Bridge To Nowhere.' """	barely-true
44	George Will	"The final pitch of Don Larsen's perfect game in the 1956 World Series ""was a foot and half probably high and outside."""	half-true
45	Robin Wright	The coalition of Arab states against Libya’s Moammar Gadhafi is the biggest coalition against a fellow Arab leader since the Persian Gulf War in 1990-1991.	true
46	Rick Scott	"""Today, you can't rely on (the retirement fund for public employees), it's not funded."""	false
47	Marcia Fudge	"""Women in Ohio earn on average 77 cents for every dollar earned by a man."""	mostly-true
48	Viral image	Says Joe Biden talked about eating wooden corn dog sticks.	pants-fire
49	James Carr	"""Before World War II, very few people actually had health insurance."""	true
50	Viral image	"""These are real ads running in New York City calling for the removal of ‘trash’ which includes white people, Trump supporters, and Christians."""	false
51	Jeanne Shaheen	"""We spend in tax loopholes annually $1.1 trillion. That's more than we spend on our defense budget in a year, on Medicare or Medicaid in a year."""	barely-true
52	Barack Obama	"Says if Congress doesn’t avoid the sequester, ""tens of thousands of parents will have to scramble to find child care for their kids."""	half-true
53	Trevor Noah	"""Iowa's Republican caucus stopped mattering years ago. It in no way determines the party nominee."""	half-true
54	Facebook posts	Says Nancy Pelosi was arrested after ripping a copy of the State of the Union speech.	pants-fire
55	Facebook posts	“It would cost $20 billion to end homelessness in the U.S.” and “halting global warming would cost $300 billion.”	barely-true
56	Karl Rove	"""In Florida, Sen. Bill Nelson ... got a $25 billion to $30 billion carve-out for Medicare Advantage patients in their state."""	barely-true
57	Newt Gingrich	"""A large number of the uninsured earn $75,000 or more a year."""	half-true
58	Viral image	“Nancy Pelosi has invited all illegals to her mansion at 2724 Pacific Ave San Francisco CA.”	false
59	Viral image	"Says Ayn Rand said, ""The question isn’t who is going to let me; it’s who is going to stop me."""	barely-true
60	Bryant Gumbel	"""A golf course closes somewhere in America every 48 hours."""	half-true
61	George W. Bush	"Barack Obama said ""he's going to attack Pakistan and embrace (Iranian President Mahmoud) Ahmadinejad."""	false
62	Barack Obama	"""2008 was the deadliest year of the war (in Afghanistan) for American forces."""	true
63	George Will	"""America has more people employed as tax preparers (1.2 million) than as police and firefighters."""	false
64	Donald Trump	Says “some people in the Great State of North Carolina have been sent TWO BALLOTS. RIGGED ELECTION in waiting!”	barely-true
65	Pete Buttigieg	“There is racism physically built into some of our highways.”	true
66	AmericanNews.com	"""Congress Approves Bill Offering Free Cars To Welfare Recipients."""	pants-fire
67	Facebook posts	Says former congressman Keith Ellison “beats his girlfriend and Democrats make him the deputy chair of the DNC.”	barely-true
68	Donald Trump	"""I want clean air. I want crystal clean water. And we’ve got it. We’ve got the cleanest country in the planet right now."""	barely-true
69	Pat McCrory	Says “75% of third-graders in this year’s class are not reading at a third grade level” and, for those who don’t catch up, there’s “an 80% chance that you will not graduate.”	half-true
70	Mark Kelly	"Says ""94 percent of (Marco Rubio's) constituents support a universal background check."""	true
71	Joe Biden	"""When we took office, let me remind you, there was virtually no international pressure on Iran."""	false
72	Donald Trump	"Russia has ""tremendous numbers of nuclear warheads — 1,800, by the way — where they expanded, and we didn't."""	half-true
73	Bloggers	"""Bill O’Reilly in critical condition after being attacked by ‘tolerant’ liberals."""	pants-fire
74	Republican Party of Wisconsin	"""Just like Hillary Clinton,"" Russ Feingold had a ""run-in with corruption and scandal by using a personal slush fund -- a.k.a. the Feingold Foundation --  while plotting another run for U.S. Senate."""	barely-true
75	Paul Bedard	"Says ""President Obama is using executive actions to impose gun control on the nation, targeting the top-selling rifle in the country ... with a ban on one of the most-used"" assault rifle bullets."	barely-true
76	Bill White	"""Debt has almost doubled in Austin under Gov. Perry."""	true
77	Tom Harkin	"Says ""employers are still allowed to pay people with disabilities below the minimum wage."""	mostly-true
78	Ron Klein	"""The IRS filed an $11,000 lien against (Allen) West for back taxes. Three liens were placed on
his home for unpaid bills, and a judge ordered West to pay over $5,000 for past due
credit card bills."""	mostly-true
79	John McKeon	"Says ""the governor took away a billion dollars of rebates, so in real dollars, our property taxes have gone up 20 percent."""	half-true
80	Chain email	"Says ""At age 76 when you most need it, you are not eligible for cancer treatment"" under Affordable Care Act."	pants-fire
81	Fox News Channel	"""California is proposing to legislate what drinks restaurants can serve your kids, only giving two options: milk or water."""	barely-true
82	Rick Kriseman	"Says that compared to Rick Baker's time as mayor, Kriseman ""had wet weather events that he did not experience"" that caused sewage spills. Baker ""went through significant periods of drought during his time as mayor."""	barely-true
83	Bob McDonnell	"""Independent voters have a ten-point margin in favor of Mitt Romney right now."""	mostly-true
84	Rick Hardcastle	"Benzene has ""never been proven to be harmful."""	pants-fire
85	Robert Menendez	"Says Paul Ryan’s budget would turn Medicare into a ""voucher."""	mostly-true
86	Elizabeth Roberts	"""They’ve seen employer-supported coverage increase in Massachusetts after this law (Romneycare) was implemented."""	true
87	Bloggers	"""Miami Dolphins fire 2 kneeling players before pre-season kickoff."""	pants-fire
88	Health First Wisconsin	"""Wisconsin is the only state that allows parents or guardians to purchase alcohol for their children – regardless of whether that child is seven or 20 years old – at bars and restaurants."""	false
89	Ismael Ozanne	"""I’m running the second-largest county district attorney’s office … at 1985 staffing levels."""	half-true
90	John Cornyn	"Says Fort Hood near Killeen, Texas, is ""the largest military installation in the free world."""	half-true
91	Paul Ryan	"Says the CBO said ""it's not that people are getting pushed off a plan; it's that people will choose not to buy something they don't like or want."""	barely-true
92	Chris Abele	"Says he ""helped lead an outside audit that’ll save (Milwaukee County) taxpayers over $200 million."""	false
93	Chris Christie	"""(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan."""	barely-true
94	Bloggers	"A photo shows ""Obama being dragged before a judge in handcuffs for wiretapping Trump."""	pants-fire
95	Andrew Cuomo	"""Taxes for every New Yorker are lower today than when I started"""	half-true
96	Barack Obama	"Since the United States began negotiations with Iran, ""that's probably the first year and a half in which Iran has not advanced its nuclear program in the last decade."""	mostly-true
97	Luis Gutierrez	"""There are fewer people crossing (the southwest) border than in the last 30 years."""	mostly-true
98	Sean Hannity	"Under the ""Cash for Clunkers"" program, ""all we've got to do is ... go to a local junkyard, all you've got to do is tow it to your house. And you're going to get $4,500."""	false
99	Sean Duffy	"Says Hillary Clinton aide Huma Abedin has ""ties to the Muslim Brotherhood."""	false
100	Rick Santorum	"Claims Supreme Court Justice Ruth Bader Ginsburg said ""she prefers the South African Constitution over the United States Constitution."""	false
101	Maggie Hassan	"""During her first four years in Washington Sen. Ayotte voted with the Koch brothers nearly 90 percent of the time."""	half-true
102	Republican Governors Association	"Says Andrew Gillum ""wants to increase Florida taxes by a billion dollars."""	mostly-true
103	Bloggers	“WHO now saying you do not need to wear a mask.”	false
104	Brendan Kelly	"""While southern Illinois families struggled,"" Mike Bost ""voted to raise his own pay."""	barely-true
105	Charles Schumer	"If you work 40 hours a week at the proposed minimum wage of $10.10 an hour, ""you get out of poverty."""	half-true
106	Jeb Bush	"Says his ""average federal tax rate"" was 36 percent."	half-true
107	Steven Frias	"The R.I. Turnpike and Bridge Authority ""was supposed to exist only until the bonds used to build the Newport Bridge were paid off through tolls. Once the bonds were paid, the Newport Bridge was to be transferred to the State of Rhode Island and become toll-free."""	mostly-true
108	Barack Obama	"""I have never said that I don't wear flag pins or refuse to wear flag pins."""	false
109	Mark Pocan	Says withdrawing troops from Afghanistan could save the U.S. $50 billion.	barely-true
110	John McCain	"Obama ""has voted in the United States Senate to increase taxes on people who make as low as $42,000 a year."""	barely-true
111	Jamie Radtke	"""Senator Webb was a reliable vote for President Obama and Senator Harry Reid."""	true
112	Andrew Cuomo	"Property taxes have ""nothing to do with the state."""	half-true
113	Everyday Devotional	"""Pope Francis cancels the Bible and proposes to create a new book."""	pants-fire
114	Facebook posts	"Quotes Trump as saying ""would you really want a president who was dumb enough to let himself get drafted?"""	pants-fire
115	National Rifle Association	"The Manchin-Toomey amendment ""would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members"" to get government approval."	barely-true
116	David Jolly	"Says the U.S. Supreme Court found that ""Social Security is not guaranteed."""	true
117	Bloggers	"Says new U.S. Democratic Rep. Rashida Tlaib has been linked to an ""unindicted terrorist."""	barely-true
118	Bloggers	"""Colin Kaepernick immediately loses Nike endorsement after anti-white rant."""	pants-fire
119	Gilberto Hinojosa	"Says that if Texas, California and New York all voted for Democratic presidential nominees, ""it would be mathematically impossible for Republicans to elect a president."""	false
120	Democratic Congressional Campaign Committee	"""Rep. Jim Renacci’s plan to end Medicare also puts nursing home care for 3,000 seniors in the district in immediate jeopardy."""	barely-true
121	Donald Trump	"""Consumer confidence, business confidence, and manufacturing confidence are the highest they have been in many decades."""	half-true
122	Direct Action for Rights & Equality	"""Roughly 25% of RI has a criminal record"""	pants-fire
123	Viral image	Says Chelsea Clinton is married to George Soros’ nephew.	pants-fire
124	Matt McGrath	"""Gov. Deal has the worst record on education in the history of this state."""	pants-fire
125	FreedomCrossroads.us	"Says ""James Comey Has Been Having An Affair With"" Debbie Wasserman Schultz."	pants-fire
126	Debbie Wasserman Schultz	"Says Mitt Romney ""is committed to overturning Roe vs. Wade, and he supports such amendments that define a life as beginning at the moment of conception."""	mostly-true
127	National Republican Congressional Committee	"Says Joe Biden said Jon Corzine is ""the smartest guy that I know, in terms of the economy and on finance, I really mean this."""	true
128	Donald Trump	Says Joe Biden said “Why am I doing this? Why? What is my real aim?”	false
129	Barack Obama	"""Under the Romney/Ryan budget, interest rates on federal student loans would be allowed to double."""	false
130	Republican Party of Florida	"Barack Obama will ""raise Social Security taxes."""	half-true
131	Ron Johnson	"""We are $20 trillion in debt. The Congressional Budget Office projects an additional $129 trillion of accumulated deficits over the next 30 years."""	mostly-true
132	Bloggers	"Says President Donald Trump’s ""executive order leads to capture of ISIS leader, Rasheed Muhammad."""	pants-fire
133	Donna Seidel	"A Republican-led softening of firearms training rules means that ""untrained individuals"" would be allowed to carry guns with a state permit."	true
134	American Crossroads	"President Barack Obama’s ""spending drove us $5 trillion deeper in debt."""	half-true
135	Viral image	A photograph shows Barack Obama bowing to Ayatollah Khamenei.	pants-fire
136	Josh Hawley	"Says Claire McCaskill ""has had Chuck Schumer spend more dark money for her than for any senator in America. $16 million and counting!"""	barely-true
137	Rick Perry	"Congress is ""on a five-week vacation."""	barely-true
138	Bloggers	"""Kavanaugh accuser’s husband breaks his silence, exposes ‘sick issue’ his wife has."""	false
139	José Oliva	"Health care is the ""No. 1 reason for bankruptcy."""	half-true
140	Matt Gaetz	"""One out of every five people that the federal government charges with murder is an illegal alien."""	false
141	Bloggers	Says the United Nations plans to “implant everyone with a biometric ID.”	false
142	Mitt Romney	"""I didn't inherit money from my parents."""	half-true
143	Ron Johnson	"Two-thirds of the federal budget is ""permanent law ... it's permanently appropriated."""	mostly-true
144	Viral image	"Seven days before John F. Kennedy was assassinated he said, ""There’s a plot in this country to enslave every man, woman and child. Before I leave this high and noble office, I intend to expose this plot."""	false
145	Viral image	Joe Biden’s eyes were black during the debate because he was wearing Mojo Vision lenses.	pants-fire
146	Facebook posts	A heat wave melted turbine blades at a Texas wind farm.	false
147	Bill Jackson	"""There’s more murders with hammers last year than...shotguns and pistols and AK-47s."""	pants-fire
148	Janet Napolitano	"""Very, very, very few people get a pat-down"" when they go through airport security."	pants-fire
149	Viral image	"Says Brooke Baldwin said, ""Don’t hire veterans! They’re too damaged to be trusted with authority."""	false
150	Bill Posey	"""Before this law was passed, Americans were told they could keep their current health care plans. After it became law, the administration issued regulations stating nearly half of Americans would lose their current plan."""	half-true
151	Adam Hasner	"While she was mayor, Lois Frankel took a ""police helicopter ride to go to a dinner party."""	half-true
152	Sid Miller	"Texas A&M University - Commerce ""offers counseling, safe spaces for students who are afraid of President-elect Trump."""	half-true
153	Chris Collins	"Hillary Clinton ""has already said she's going to wipe out the Second Amendment. She doesn't believe in the First Amendment. And, she also believes in big government, which flies in the face of the 10th Amendment"""	false
154	Joe Straus	"""One"" Texas school ""district alone -- Austin ISD -- is expected to lose more than $530 million in local property taxes to Robin Hood this year."""	true
155	Josh Mandel	"Says he ""earned the highest possible credit ratings as state treasurer."""	mostly-true
156	Mark Kirk	"""At his father's bank, Alexi made tens of millions in risky loans to convicted mobsters. Then, the bank collapsed."""	half-true
157	Viral image	Says Denzel Washington left the Democratic Party because he’s “had it with the lies.”	pants-fire
158	Corey Stewart	"""It is only under President Trump that we have become the largest producer of oil and gas resources."""	false
159	North Carolina Republican Party	"""As hundreds of North Carolinians face long lines at DMV offices around the state, Governor Cooper created a secret DMV office just for his friends."""	barely-true
160	Rudy Giuliani	"""Murder went up"" when Romney was governor. ""Robbery went up. Violent crimes went up."""	half-true
161	Wisconsin Corn Growers Association	"""Without ethanol, gas prices would be at least 15% higher. With gas at four bucks, that means you’re saving 12 bucks on a 20 gallon fill up."""	half-true
162	Republican Party of Florida	Health insurance costs for Floridians are up 30 percent or more.	barely-true
163	Mark Warner	"Millennials ""will be 75 percent of the workforce in the next 10 years."""	barely-true
164	Beto O'Rourke	"""I’m one of two members of Congress out of 535 that takes no corporate cash, no political action committee money."""	half-true
165	Charlie Crist	"""I am very proud, as governor of Florida, that we signed the first divestment act, as it relates to Iran, divesting any investments in companies that would invest in Iran."""	true
166	Rick Scott	"""We ... sold the state airplanes as I had promised."""	true
167	Hillary Clinton	"""It was allowed,"" referring to her email practices."	false
168	Terry Jeffrey	There were more people on welfare than working in 2013.	false
169	Facebook posts	Nurses submitting coronavirus tests say they all are coming back positive.	false
170	Thom Tillis	"Says a pro-Democratic ad is ""false"" for saying that he allowed two disgraced staffers in 2012 to ""resign."""	barely-true
171	Charles Bass	"Ann McLane Kuster is ""for a government takeover of health care more radical than Obamacare. And she supports a $700 billion cut to Medicare for current retirees."""	barely-true
172	Americans for Job Security	"Says Zack Space voted for budgets and debt, energy taxes and the stimulus, and ""we still lost more than 2.5 million jobs."""	half-true
173	Donald Trump	"""For the first time in history, most new hires of prime working age are minorities and women."""	half-true
174	Rick Perry	"""We spend half a trillion dollars a year in tax preparation."""	barely-true
175	Jon Tester	"Says Matt Rosendale ""consistently supported land use rules that would help developers like him and hurt farmers in Montana."""	half-true
176	Paul Soglin	"""If there is a firearm available, it is 17 times more likely to be used either for suicide or for assaulting a friend, relative, an acquaintance than it is to be used in fending off an intruder."""	half-true
177	Progress Texas	"""Rick Perry ended full-day Pre-K for 100,000 Texas children."""	barely-true
178	VoteVets.org	Says Thom Tillis voted “against a pay raise for a military, while voting for a pay raise for himself.”	barely-true
179	Facebook posts	Says Marjorie Taylor Greene said, “Jesus loves the U.S. most and that is why the Bible is written in English.”	false
180	Viral image	Says a photo shows Pamela Karlan reacting to Hillary Clinton’s presidential defeat.	false
181	Starbucks	"""Coffee is the second-most traded commodity after oil."""	pants-fire
182	Rush Holt	"""Every single month since 1985 has been warmer than the historic average. All 12 of the warmest years on record have come in the last 15 years."""	true
183	Ann Coulter	"Rhode Island’s voter identification law was pushed by ""a black Democrat in the House, a black Democrat in the Senate. That's a fact."""	true
184	Florida Democratic Party	"Says Rick Scott ""oversaw the largest Medicare fraud in the nation’s history."""	mostly-true
185	Facebook posts	Following Hurricane Ida, animals from Turtle Back Zoo in New Jersey are “fleeing the premises.”	pants-fire
186	Rick Santorum	"Paul Ryan’s Medicare plan provides ""pretty much"" the same coverage that members of Congress receive."	barely-true
187	Sam Adams	"Says the initial Portland plastic bag ban represented ""only a modest share of total single-use checkout bag use."""	barely-true
188	Liz Cheney	“Something less than 6% ... of this proposal that President Biden has put forward is actually focused on infrastructure.”	pants-fire
189	Judicial Confirmation Network	"Sotomayor thinks ""that one’s sex, race and ethnicity ought to affect the decisions one renders from the bench."""	half-true
190	Alex Sink	"The lawyer who brought the case against NationsBank said ""publicly that Alex Sink had nothing to do with the case, had nothing to do with the situation and didn't know about the problems."""	mostly-true
191	Hank Johnson	"""Since 1970, the Clean Air Act has reduced toxic and health-threatening air pollution by 60 percent while our economy has grown more than 200 percent."""	mostly-true
192	Viral image	Says Angela Merkel is the daughter of Adolf Hitler, Justin Trudeau is the son of Fidel Castro and Barbara Bush is the daughter of Aleister Crowley.	pants-fire
193	Lars Larson	"""TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT"""	true
194	Ron Amstutz	"""Most of the state budget isn't for state government doing things. ... 85 percent of the state budget is transferred to local communities for delivery of service."""	mostly-true
195	Ron Johnson	"Says it’s not possible for some Wisconsin residents to watch Packers games, ""they’re forced to watch Viking games,"" so he ""got a law passed to fix"" the problem."	barely-true
196	Mitt Romney	"Says Barack Obama was silent on Iran ""when the students took to the streets in Tehran and the people there protested, (and) the Green Revolution occurred."""	barely-true
197	Jay Carney	Says the Obama Administration has fulfilled all of Texas’ requests for fire management assisting grants.	mostly-true
198	Bernie Sanders	"""In 2014 ... in McDowell County, W.Va., one of the poorest counties in the nation, life expectancy for men was 64 years. In Fairfax County, Va., a wealthy county, just 350 miles away, life expectancy was nearly 82 years, an 18 year differential. The life expectancy gap for women in the two counties was 12 years."""	mostly-true
199	Todd Wilcox	"""More businesses are closing than are opening for the first time in our nation's history."""	half-true
200	Nick Tsiongas	"""Health care is the greatest contribution to spending increases in the state budget."""	true
201	Pat Toomey	"Says Katie McGinty ""actually agrees with Hillary Clinton and the most liberal wing of the Democrats on everything."""	half-true
202	Wayne LaPierre	"""As a result of National Rifle Association and other private-sector (safety-education) programs, fatal firearms accidents are at the lowest level in 100 years."""	half-true
203	Wisconsin Sierra Club	"Says state Sen. Alberta Darling is ""allowing mercury to harm our children"" because she voted against an electronics recycling bill."	barely-true
204	Facebook posts	A white armed-robbery suspect was sentenced to two years in jail while a black armed-robbery suspect was sentenced to 26 years in prison by the same Florida judge.	mostly-true
205	Carl Lewis	"""You’re paying for...(state Sen. Diane Allen’s) health care, and she took yours away."""	barely-true
206	Donald Trump Jr.	"Unemployment numbers ""are artificial numbers. These are numbers that are massaged to make the existing economy look good, to make this administration look good when, in fact, it's a total disaster."""	pants-fire
207	Georgians for Bernie Sanders for President	Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.	mostly-true
208	Bloggers	An Alton, Ill., man caught a 736-pound Giant Mekong catfish in the Mississippi River.	pants-fire
209	AFSCME	"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit."	false
210	Jeff Sessions	"""In her first appellate argument, Ms. Kagan told the court that the speech and press guarantees in the First Amendment would allow the federal government to ban the publication of pamphlets discussing political issues before an election."""	half-true
211	Chain email	"Says Barack Obama is the ""first president to appoint 45 czars to replace elected officials in his office."""	false
212	One New Jersey	"""Under Republican Chris Christie, New Jersey had the highest increase in unemployment in the country last year. Nearly 1 in 10 jobless. The worst unemployment in the region. Near the bottom in economic growth, yet Christie protected a tax cut for millionaires but vetoed a minimum wage hike."""	mostly-true
213	Vincent Prieto	"Says Gov. Chris Christie’s proposed budget is ""the biggest spending budget in the history of the state of New Jersey. It is the largest in the nation at this point in time."""	false
214	Nicole Galloway	"""Missouri has one of the highest rates of uninsured children in the country."""	half-true
215	Donald Trump	"""My numbers are better right now than Ronald Reagan's numbers were with Jimmy Carter."""	false
216	Rick Perry	Says Barack Obama has played nearly 100 rounds of golf as president.	true
217	John McCain	"""Obama never held a single Senate hearing on Afghanistan."""	mostly-true
218	Tim Carpenter	"Republicans didn't ""increase state funding for nursing homes in the last budget."""	false
219	Eric Cantor	"The 2009 stimulus bill ""failed to get people back to work."""	false
220	Newt Gingrich	"In 1992, Mitt Romney ""gave money to Democrats for Congress."""	true
221	Tim Kaine	"""I haven't switched my position"" on the Trans-Pacific Partnership trade deal."	half-true
222	Facebook posts	"A judge's order means there's a ""Constitution exemption zone"" if you live ""within 100 miles of the United States border."""	false
223	Roy Barnes and Nathan Deal	"Vows to keep Georgia's race for governor ""civil"" and focused on the ""positive."""	pants-fire
224	Bloggers	"Quotes Winston Churchill as saying, ""When Muslims are the minority they are concerned with minority rights, when they are in the majority there are no minority rights."""	pants-fire
225	Instagram posts	Says Joe Biden “disrespects servicemen” in telling them to “clap for that you stupid bastards.”	half-true
226	Sheryl Cole	"""This year,"" the Austin City Council ""granted a small homestead"" property tax ""exemption of $5,000... applied equally to everyone. And we also granted an exemption for the elderly and the disabled members of the community."""	barely-true
227	Ron Johnson	Says Jan. 6 Capitol riot “didn’t seem like an armed insurrection.”	pants-fire
228	Barack Obama	Says Mitt Romney refused to say whether he'd sign the Lilly Ledbetter bill.	mostly-true
229	Barack Obama	"He's been endorsed by ""every major newspaper here in the state of Texas."""	true
230	Ellen Rosenblum	"Says ""nearly 29,000 Oregonians — almost 5 percent of all homeowners — are 90 days or more delinquent on their mortgage."""	true
231	Theresa Greenfield	“I’ve taken a pledge not to take one dime of corporate PAC donations.”	mostly-true
232	Winning Our Future	Says Romney and Bain Capital drove KB Toys into bankruptcy by loading it up with debt.	barely-true
233	Bill O'Reilly	"""When I go on Letterman"" the ""ratings go up."""	mostly-true
234	Barack Obama	"""Even today part of Romney’s fortune is invested in China."""	mostly-true
235	Ja'Mal Green	"Under Rahm Emanuel, ""We’ve got tree trimmers making six figures."""	mostly-true
236	Dave Yost	"""The city of Columbus would save $41 million a year if employees had to contribute to their own, guaranteed-check pensions."""	mostly-true
237	Americans United for Change	"""Sens. Isakson’s, Chambliss’ Votes Against Unemployment Insurance Were Votes to Kill Nearly 6,000 Georgia Jobs."""	half-true
238	Brian Moran	"The governor has made a ""commitment to billions of dollars in debt and new spending without any explanation of how he plans to pay that money back."""	pants-fire
239	Robert Hurt	"Says the estate tax, ""in many cases,"" forces family farmers and small businesses owners to sell their holdings."	false
240	Reince Priebus	"""It's an absolute fact"" that China and North Korea ""have consistently over many, many years"" meddled in U.S. elections."	false
241	Chain email	"A new bill ""was written into the new health care reform initiative ensuring that Congress will be 100 percent exempt."""	false
242	Lloyd Doggett	Says the main Central Texas food bank is delivering 50 percent more food to the poor than three years ago.	mostly-true
243	Claire McCaskill	"""I’ve been on the Armed Services (Committee) for 10 years. No call or meeting w/ Russian ambassador. Ever."""	false
244	Instagram posts	"""California sends 440,000 ballots to ineligible voters."""	false
245	Phil Kerpen	"""Amazing fact: Senate has already voted on more amendments in 2015 than Reid allowed ALL YEAR last year."""	mostly-true
246	MoveOn.org	"Gov. Rick Scott ""tried to kick 180,000 people off the voter rolls."""	false
247	Chris Matthews	"Under Florida’s voting law, a requirement to turn in voter registrations within 48 hours ""makes it impossible to meet the deadline if you’re working right to the end of the week."""	false
248	Viral image	"Says Michael Bloomberg said, ""I have known Trump for decades. We have traveled in the same business circles. He is known among millionaires as a con-artist and among business owners as a cheat out to stiff everyone."""	false
249	Donald Trump	“Joe Biden called Black youth super predators.”	false
250	Ron Ramsey	"""(Environmentalists) said ‘We’re only going to stop coal mining above 2,000 feet.’ ... Well guess where all the coal in the state of Tennessee is? Above 2,000 feet."""	false
